,address,adtype,latitude,longitude,panel_id,postcode,site_id
0,33 Rectory Road Stoke Newington,Billboards,51.55796,-0.069371,130366,E12 6JB,95669.0
0,278 Stamford Hill Cnr Olinda Road Stamford Hill,Billboards,51.575329,-0.072048,130581,N16 6TY,97233.0
0,154 Canonbury Road Highbury Corner,Billboards,51.545908,-0.102026,130957,N1 2UP,97429.0
0,18 Dartmouth Park  Tufnell Park,Billboards,51.557993,-0.139153,130980,NW5 1HL,97442.0
0,Temple Mills Lane Cnr Leyton Road Opp Drapers Football Ground,Billboards,51.550685,-0.005101,131454,E18 2QN,97647.0
0,Temple Mills Lane Cnr Leyton Road Opp Drapers Football Ground,Billboards,51.550685,-0.005101,131455,E18 2QN,97647.0
0,84 Borough Road Nr Southwark Bridge Rd Borough,Billboards,51.498928,-0.099295,131593,SE1 1DN,97714.0
0,Rotherhithe New Road Cnr Ilderton Road S. Bermondsey,Billboards,51.48839,-0.057701,131641,SE16 2RD,97729.0
0,"12 Westminster Bridge Road, The Flowers Of Forest Ph",Billboards,51.49815,-0.106776,131661,SE1 7QX,97747.0
0,"469 Bethnal Green Rd, Cnr Hollybush Gardens Bethnal Grn",Billboards,51.527475,-0.056951,131761,E2 9QH,97794.0
0,East India Dock Road Cnr Robin Hood Lane All Saints Poplar,Billboards,51.511172,-0.009352,131792,E14 6EU,97808.0
0,"Billingsgate Market, Aspen Way/Trafalgar Way, London",Billboards,51.507078,-0.015804,131825,E14 5ST,97819.0
0,"Billingsgate Market, Aspen Way/Trafalgar Way, London",Billboards,51.507078,-0.015804,131826,E14 5ST,97819.0
0,Burdett Road Jnc Midlothian Rd nr Mile End Park (Ex Park Inn) Mile End,Billboards,51.521355,-0.033593,131890,E3 4SE,97853.0
0,Burdett Road Jnc Midlothian Rd nr Mile End Park (Ex Park Inn) Mile End,Billboards,51.521355,-0.033593,131891,E3 4SE,97853.0
0,26 Evelyn Street Cnr Alloa Rd Nr Deptford Park,Billboards,51.488822,-0.040544,143080,SE8 5DG,102487.0
0,o/s 55 New Oxford St Camden,Phoneboxes,51.51673,-0.127665,146766,WC1A 1BS,103886.0
0,o/s 111 High Holborn Camden,Phoneboxes,51.517751,-0.119519,146767,WC1V 6JS,103887.0
0,o/s 111 High Holborn Camden,Phoneboxes,51.517758,-0.119522,146768,WC1V 6JS,103888.0
0,o/s 29 Tottenham Court Rd Camden,Phoneboxes,51.518263,-0.132014,146769,W1T 1BU,103889.0
0,o/s 38 Tottenham Crt Rd Camden,Phoneboxes,51.518838,-0.132689,146771,W1T 1BT,103891.0
0,o/s 197 Kentish Town Rd Camden,Phoneboxes,51.546759,-0.141835,146772,NW5 2JU,103892.0
0,Jnc Nrth Gower Rd.Euston Rd Camden,Phoneboxes,51.525754,-0.136256,146780,NW1 2LU,103900.0
0,o/s 114 Tottenham Court Rd Camden,Phoneboxes,51.523437,-0.137168,146781,W1T 5AH,103901.0
0,Adj 1 Eversholt St Camden,Phoneboxes,51.527946,-0.131549,146783,NW1 2FL,103903.0
0,o/s 124 Robert St Camden,Phoneboxes,51.528581,-0.143664,146784,NW1 3QR,103904.0
0,o/s 100 Euston Rd Camden,Phoneboxes,51.528564,-0.127995,146785,NW1 2AJ,103905.0
0,o/s 23 Tottenham Crt Rd Camden,Phoneboxes,51.517997,-0.131793,146788,W1T 1BW,103908.0
0,o/s 20 Bedford Way Camden,Phoneboxes,51.52314,-0.127856,146795,WC1H 0AL,103915.0
0,"Torrington Place, nr Gower St Camden",Phoneboxes,51.522568,-0.13218,146796,WC1E 6EG,103916.0
0,o/s 104 Tott.Crt Rd Camden,Phoneboxes,51.52273,-0.136508,146799,W1A 3AW,103919.0
0,o/s 104 Tott. Crt Rd Camden,Phoneboxes,51.522733,-0.136503,146801,W1A 3AW,103921.0
0,opp 33 Store St Camden,Phoneboxes,51.519974,-0.131353,146803,WC1E 7DE,103923.0
0,o/s 219 Canfield Gdns Camden,Phoneboxes,51.546844,-0.179941,146807,NW3 6LB,103927.0
0,o/s 93-95 Fairfax Rd Camden,Phoneboxes,51.542031,-0.179834,146808,NW6 4DY,103928.0
0,o/s 245 Tottenham Crt Rd Camden,Phoneboxes,51.518145,-0.131772,146810,W1T 7QT,103930.0
0,o/s 245 Tottenham Crt Rd Camden,Phoneboxes,51.518139,-0.131774,146811,W1T 7QT,103931.0
0,o/s 40 New Oxford St Camden,Phoneboxes,51.517134,-0.125793,146813,WC1A 1EP,103933.0
0,o/s 23 Tottenham Crt Rd Camden,Phoneboxes,51.51799,-0.131782,146814,W1T 1BW,103934.0
0,o/s 1 Malet St Camden,Phoneboxes,51.522333,-0.131149,146815,WC1E 7HX,103935.0
0,2 Harben Parade Swiss Cottage Finchley Road,Phoneboxes,51.545061,-0.177015,146816,NW3 6JP,103936.0
0,"opp Chalk Farm Parade Of Shps, Adelaide Road",Phoneboxes,51.54397,-0.153664,146817,NW3 2BP,103937.0
0,o/s 255 Finchley Rd Camden,Phoneboxes,51.547983,-0.18073,146821,NW3 6LU,103941.0
0,o/s 255 Finchley Rd Camden,Phoneboxes,51.547986,-0.18073,146822,NW3 6LU,103942.0
0,o/s 72-78 Lambs Conduit St Camden,Phoneboxes,51.522496,-0.118935,146823,WC1N 3LT,103943.0
0,o/s 7-9 Kingsland High St Hackney,Phoneboxes,51.546577,-0.07577,146956,E8 2JS,104076.0
0,o/s 368 Kingsland Rd Hackney,Phoneboxes,51.541423,-0.075878,146959,E8 4DA,104079.0
0,o/s 36-38 Dalston Ln Hackney,Phoneboxes,51.546207,-0.072353,146960,E8 3AZ,104080.0
0,o/s 26-28 High St Hackney,Phoneboxes,51.557951,-0.074359,146961,N16 7PL,104081.0
0,o/s 482-484 Kingsland Rd Hackney,Phoneboxes,51.543358,-0.076046,146963,E8 4AE,104083.0
0,o/s 222 High St Hackney,Phoneboxes,51.56236,-0.073707,146964,N16 0LN,104084.0
0,o/s 416 Kingsland Rd Hackney,Phoneboxes,51.541558,-0.076105,146965,E8 4AA,104085.0
0,o/s 26 Stoke Newington Chur Hackney,Phoneboxes,51.562064,-0.074906,146968,N16 0NX,104088.0
0,o/s 233 Kingsland Rd Hackney,Phoneboxes,51.534843,-0.077081,146970,E2 8AN,104090.0
0,o/s 131 Stoke Newington Rd Hackney,Phoneboxes,51.556097,-0.074623,146971,N16 8BT,104091.0
0,o/s 142a Upper Clapton Rd Hackney,Phoneboxes,51.564004,-0.05933,146973,E5 9JZ,104093.0
0,o/s 26 Stamford Hill Hackney,Phoneboxes,51.56479,-0.072996,146975,N16 6XZ,104095.0
0,o/s 63-65 Old Hill St Hackney,Phoneboxes,51.569448,-0.064703,146976,N16 6LU,104096.0
0,o/s 52 Well St Hackney,Phoneboxes,51.539534,-0.056359,146981,E9 7PX,104101.0
0,o/s 30c King Edwards Rd Hackney,Phoneboxes,51.537835,-0.054601,146982,E9 7SF,104102.0
0,opp 180 Cassland Rd Hackney,Phoneboxes,51.544098,-0.038098,146985,E9 5BU,104105.0
0,opp 69 Amhurst Pk Hackney,Phoneboxes,51.574891,-0.081448,146989,N16 5DH,104109.0
0,o/s 153 Clapton Common Hackney,Phoneboxes,51.573121,-0.071331,146990,E5 9AE,104110.0
0,o/s 82 Stamford Hill Hackney,Phoneboxes,51.570262,-0.072554,146994,N16 6QP,104114.0
0,opp 118 Northwold Rd Hackney,Phoneboxes,51.56259,-0.061004,146997,E5 8RA,104117.0
0,o/s 10 Manor Parad Hackney,Phoneboxes,51.565518,-0.074083,146999,N16 5SG,104119.0
0,o/s 113 Upper Clapton Rd Hackney,Phoneboxes,51.564506,-0.05988,147002,E5 9BU,104122.0
0,o/s 75-77 Amhurst Rd Hackney,Phoneboxes,51.549608,-0.061377,147003,E8 2AH,104123.0
0,o/s 19 Chatsworth Rd Hackney,Phoneboxes,51.553548,-0.045045,147004,E5 0LH,104124.0
0,o/s 112a Lower Clapton Rd Hackney,Phoneboxes,51.553743,-0.053518,147005,E5 0QR,104125.0
0,o/s 56 Evering Rd Hackney,Phoneboxes,51.558783,-0.066739,147008,N16 7SR,104128.0
0,o/s 63 Chatsworth Rd Hackney,Phoneboxes,51.552251,-0.044283,147010,E5 0LH,104130.0
0,o/s 153 Stroud Green Rd Haringay,Phoneboxes,51.569921,-0.11394,147056,N4 3PZ,104176.0
0,o/s 222 Seven Sisters Rd Haringey,Phoneboxes,51.562708,-0.108792,147057,N4 3NX,104177.0
0,o/s 89 Stroud Green Rd Haringay,Phoneboxes,51.568654,-0.111086,147058,N4 3PX,104178.0
0,o/s 48 Grand Parade Green Lanes Haringey,Phoneboxes,51.579176,-0.098962,147061,N4 1AG,104181.0
0,o/s 1 Crouch End Hill Haringay,Phoneboxes,51.578056,-0.124068,147063,N8 8DL,104183.0
0,o/s 15-17 Ferme Park Rd Haringay,Phoneboxes,51.574056,-0.112782,147065,N4 4DS,104185.0
0,o/s 184 Tottenham Ln Haringey,Phoneboxes,51.582003,-0.120592,147067,N8 8SG,104187.0
0,o/s 158 Tottenham High Rd Sth Tott Station Haringe,Phoneboxes,51.580743,-0.072522,147073,N15 6UJ,104193.0
0,o/s 251 Upper St Islington,Phoneboxes,51.545509,-0.103313,147190,N1 1RU,104310.0
0,o/s 55 Highbury Pk Islington,Phoneboxes,51.55508,-0.097917,147192,N5 1TH,104312.0
0,o/s 200 Essex Rd Islington,Phoneboxes,51.540739,-0.09532,147193,N1 3AP,104313.0
0,o/s 49 Upper St Islington,Phoneboxes,51.535097,-0.104476,147194,N1 0PN,104314.0
0,o/s 147 Essex Rd Islington,Phoneboxes,51.539909,-0.097193,147195,N1 2SN,104315.0
0,o/s 31 Downham Rd Islington,Phoneboxes,51.539035,-0.078358,147196,N1 5AA,104316.0
0,o/s 564-566 Holloway Rd Islington,Phoneboxes,51.559879,-0.122399,147197,N7 6JP,104317.0
0,o/s 482 Holloway Rd Islington,Phoneboxes,51.558462,-0.120214,147199,N7 6HY,104319.0
0,o/s 76a-78 Highbury Pk Islington,Phoneboxes,51.557213,-0.097997,147203,N5 2XE,104323.0
0,o/s 426-432 Essex Rd Islington,Phoneboxes,51.546183,-0.08722,147204,N1 3QP,104324.0
0,o/s 314 St Pauls Rd Islington,Phoneboxes,51.546193,-0.102361,147205,N1 2LF,104325.0
0,o/s 97a Newington Green Rd Islington,Phoneboxes,51.549825,-0.087225,147208,N1 4QX,104328.0
0,o/s 179 Holloway Rd Islington,Phoneboxes,51.550093,-0.109059,147212,N7 8LX,104332.0
0,o/s 179 Holloway Rd Islington,Phoneboxes,51.550096,-0.109059,147213,N7 8LX,104333.0
0,o/s 93 Holloway Rd Islington,Phoneboxes,51.547818,-0.106175,147215,N7 8LT,104335.0
0,N/O 2 Parkhurst Rd Islington,Phoneboxes,51.554649,-0.122856,147217,N7 0NS,104337.0
0,o/s 320 Holloway Rd Islington,Phoneboxes,51.554855,-0.114946,147221,N7 6NJ,104341.0
0,o/s 436 Holloway Rd Islington,Phoneboxes,51.557348,-0.118543,147224,N7 6QA,104344.0
0,o/s 63 Pitfield St Islington,Phoneboxes,51.529171,-0.083441,147226,N1 6BU,104346.0
